#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 367836:8817 | 05/23/23 00:06:34 | 541  | 541  | 235.966614212  | 223.847377535 |
| 367838:8817 | 05/23/23 03:40:32 | 793  | 793  | 343.732509488  | 327.161343088 |
| 367840:8817 | 05/23/23 08:52:14 | 570  | 570  | 174.445969158  | 168.099507830 |
| 367881:8821 | 05/23/23 23:38:10 | 139  | 139  | 50.682463850   | 48.053871697  |
| 367883:8821 | 05/24/23 00:40:40 | 1050 | 1050 | 502.205581434  | 475.578216742 |
| 367884:8821 | 05/24/23 07:31:57 | 1011 | 1011 | 332.134906743  | 319.923630680 |
| 367902:8822 | 05/24/23 17:32:35 | 232  | 232  | 92.659393306   | 87.270903845  |
| 367904:8822 | 05/24/23 19:07:59 | 103  | 103  | 50.035566112   | 45.306469511  |
| 367905:8822 | 05/24/23 19:51:10 | 48   | 48   | 23.322276998   | 21.649381587  |
| 367906:8822 | 05/24/23 20:15:19 | 344  | 344  | 167.832298889  | 153.387008928 |
| 367907:8822 | 05/24/23 22:31:40 | 119  | 119  | 57.864710121   | 51.717888904  |
| 367908:8822 | 05/24/23 23:20:49 | 358  | 358  | 155.446404873  | 145.629396846 |
| 367910:8822 | 05/25/23 01:44:16 | 593  | 593  | 201.106447436  | 194.189596625 |
| 368223:8850 | 05/30/23 17:28:58 | 436  | 436  | 50.560615578   | 43.952053997  |
| 368224:8850 | 05/30/23 20:22:23 | 57   | 57   | 6.998255209    | 6.512157220   |
| 368229:8853 | 05/31/23 00:15:18 | 518  | 518  | 98.110824924   | 93.422953161  |
| 368318:8858 | 06/01/23 13:07:55 | 283  | 283  | 68.178866119   | 64.403354700  |
| 368320:8858 | 06/01/23 14:59:31 | 285  | 285  | 82.197404445   | 78.879628566  |
| 368321:8858 | 06/01/23 16:51:29 | 334  | 334  | 82.791643527   | 79.208583144  |
| 368332:8860 | 06/01/23 22:20:52 | 14   | 14   | 2.447771996    | 2.360127131   |
| 368333:8860 | 06/01/23 22:28:24 | 25   | 25   | 4.962680082    | 4.123253580   |
| 368382:8863 | 06/02/23 16:02:36 | 756  | 756  | 223.277480624  | 211.901050266 |
| 368384:8863 | 06/02/23 21:15:41 | 44   | 44   | 12.114126273   | 11.433677439  |
| 368388:8865 | 06/03/23 00:21:46 | 1429 | 1429 | 381.698377703  | 363.606755364 |
| 368389:8865 | 06/03/23 09:40:44 | 198  | 198  | 36.189282369   | 34.969769717  |
| 368400:8866 | 06/03/23 12:50:32 | 232  | 232  | 69.376428404   | 65.335545716  |
| 368410:8870 | 06/03/23 23:48:50 | 1450 | 1450 | 446.450226773  | 424.209247102 |
| 368412:8870 | 06/04/23 09:25:10 | 92   | 92   | 18.571863120   | 17.850067301  |
| 368423:8872 | 06/04/23 14:14:20 | 474  | 474  | 201.981901356  | 192.432310706 |
| 368451:8873 | 06/04/23 23:18:33 | 144  | 144  | 62.260570532   | 57.373214799  |
| 368453:8873 | 06/05/23 00:22:37 | 5    | 5    | 2.019930089    | 0.294970552   |
| 368454:8873 | 06/05/23 00:26:44 | 1165 | 1165 | 347.325526580  | 333.419527146 |
| 368489:8877 | 06/05/23 13:06:06 | 1537 | 1537 | 545.069001655  | 522.649383394 |
| 368546:8880 | 06/06/23 04:02:46 | 659  | 659  | 299.753815025  | 279.560371152 |
| 368547:8880 | 06/06/23 08:21:17 | 700  | 700  | 259.008948896  | 238.119377430 |
| 368548:8880 | 06/06/23 13:02:12 | 1038 | 1038 | 250.508802438  | 241.567166169 |
| 368566:8882 | 06/06/23 22:37:56 | 1195 | 1195 | 509.202951608  | 480.560978128 |
| 368567:8882 | 06/07/23 06:24:22 | 433  | 433  | 132.886559680  | 127.044692693 |
| 368609:8885 | 06/08/23 00:28:48 | 999  | 999  | 427.366437703  | 407.785539371 |
| 368611:8885 | 06/08/23 07:09:42 | 381  | 381  | 124.142129319  | 119.515105992 |
| 368613:8885 | 06/08/23 09:55:55 | 260  | 260  | 70.404165796   | 68.043683071  |
| 368636:8887 | 06/08/23 21:31:45 | 769  | 769  | 328.867954370  | 313.950743695 |
| 368669:8891 | 06/09/23 13:10:40 | 369  | 369  | 165.638545671  | 157.473707405 |
